name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Adelie Land,378,Valid,L5,1000,Found,01/01/1912 12:00:00 AM,-67.18333,142.38333,"(-67.18333, 142.38333)"
Allan Hills 06001,44858,Valid,H5,128.1,Found,01/01/2006 12:00:00 AM,-76.71695,158.76862,"(-76.71695, 158.76862)"
Allan Hills 06002,44859,Valid,H~5,119.2,Found,01/01/2006 12:00:00 AM,-76.74253,158.84305,"(-76.74253, 158.84305)"
Allan Hills 06003,44860,Valid,H~5,25,Found,01/01/2006 12:00:00 AM,-76.71128,158.79283,"(-76.71128, 158.79283)"
Allan Hills 06004,44861,Valid,H~5,61.7,Found,01/01/2006 12:00:00 AM,-76.70522,158.77838,"(-76.70522, 158.77838)"
Allan Hills 06005,44862,Valid,H~5,6,Found,01/01/2006 12:00:00 AM,-76.70522,158.77838,"(-76.70522, 158.77838)"
Allan Hills 06006,44863,Valid,H~5,280.9,Found,01/01/2006 12:00:00 AM,-76.70558,158.77587,"(-76.70558, 158.77587)"
Allan Hills 06007,44864,Valid,H5,226.3,Found,01/01/2006 12:00:00 AM,-76.70552,158.77583,"(-76.70552, 158.77583)"
Allan Hills 06008,44865,Valid,H~5,120,Found,01/01/2006 12:00:00 AM,-76.70552,158.77485,"(-76.70552, 158.77485)"
Allan Hills 06009,44866,Valid,H~5,28.6,Found,01/01/2006 12:00:00 AM,-76.71215,158.77527,"(-76.71215, 158.77527)"
Allan Hills 06010,44867,Valid,H~5,1.08,Found,01/01/2006 12:00:00 AM,-76.71263,158.77862,"(-76.71263, 158.77862)"
Allan Hills 06011,44868,Valid,H~5,24.3,Found,01/01/2006 12:00:00 AM,-76.71255,158.7786,"(-76.71255, 158.7786)"
Allan Hills 06012,44869,Valid,H5,91,Found,01/01/2006 12:00:00 AM,-76.71733,158.77398,"(-76.71733, 158.77398)"
Allan Hills 09001,55346,Valid,L5/6,0.5,Found,01/01/2009 12:00:00 AM,-76.74403,159.37238,"(-76.74403, 159.37238)"
Allan Hills 09002,55347,Valid,L6,71.6,Found,01/01/2009 12:00:00 AM,-76.74245,159.37458,"(-76.74245, 159.37458)"
Allan Hills 09003,55348,Valid,L6,15.5,Found,01/01/2009 12:00:00 AM,-76.74245,159.37458,"(-76.74245, 159.37458)"
Allan Hills 82100,476,Valid,CM2,24.3,Found,01/01/1982 12:00:00 AM,-76.97691,156.93841,"(-76.97691, 156.93841)"
Allan Hills 82101,477,Valid,CO3.4,29.1,Found,01/01/1982 12:00:00 AM,-76.88426,156.93086,"(-76.88426, 156.93086)"
Allan Hills 82102,478,Valid,H5,48.1,Found,01/01/1982 12:00:00 AM,-77.04666,157.24407,"(-77.04666, 157.24407)"
Allan Hills 82103,479,Valid,H5,2529.2,Found,01/01/1982 12:00:00 AM,-76.89661,156.99137,"(-76.89661, 156.99137)"
Allan Hills 82104,480,Valid,L5,398.8,Found,01/01/1982 12:00:00 AM,-77.05074,157.19834,"(-77.05074, 157.19834)"
Allan Hills 82105,481,Valid,L6,363.3,Found,01/01/1982 12:00:00 AM,-77.04867,157.18333,"(-77.04867, 157.18333)"
Allan Hills 82106,482,Valid,Ureilite,35.1,Found,01/01/1982 12:00:00 AM,-77.03788,157.2516,"(-77.03788, 157.2516)"
Allan Hills 82107,483,Valid,L5,9.2,Found,01/01/1982 12:00:00 AM,-76.97697,156.91541,"(-76.97697, 156.91541)"
Allan Hills 82108,484,Valid,H5,13.5,Found,01/01/1982 12:00:00 AM,-76.96353,156.9203,"(-76.96353, 156.9203)"
Allan Hills 82109,485,Valid,H5,47.2,Found,01/01/1982 12:00:00 AM,-77.02778,157.03028,"(-77.02778, 157.03028)"
Allan Hills 82110,486,Valid,H3.6,39.3,Found,01/01/1982 12:00:00 AM,-77.03342,157.25235,"(-77.03342, 157.25235)"
Allan Hills 82111,487,Valid,L6,63,Found,01/01/1982 12:00:00 AM,-76.91278,156.97551,"(-76.91278, 156.97551)"
Allan Hills 82112,488,Valid,H5,28.3,Found,01/01/1982 12:00:00 AM,-76.96674,156.91777,"(-76.96674, 156.91777)"
Allan Hills 82113,489,Valid,H6,61.2,Found,01/01/1982 12:00:00 AM,-76.97126,156.90291,"(-76.97126, 156.90291)"
Allan Hills 82114,490,Valid,H5,40.7,Found,01/01/1982 12:00:00 AM,-77.03648,157.23968,"(-77.03648, 157.23968)"
Allan Hills 82115,491,Valid,H5,48.5,Found,01/01/1982 12:00:00 AM,-76.97442,156.90877,"(-76.97442, 156.90877)"
Allan Hills 82116,492,Valid,H6,18.4,Found,01/01/1982 12:00:00 AM,-77.03694,157.04639,"(-77.03694, 157.04639)"
Allan Hills 82117,493,Valid,L5,4.2,Found,01/01/1982 12:00:00 AM,-77.04025,157.2305,"(-77.04025, 157.2305)"
Allan Hills 82118,494,Valid,L6,110.9,Found,01/01/1982 12:00:00 AM,-77.04408,157.2676,"(-77.04408, 157.2676)"
Allan Hills 82119,495,Valid,H5,23.9,Found,01/01/1982 12:00:00 AM,-76.9791,156.92267,"(-76.9791, 156.92267)"
Allan Hills 82120,496,Valid,H5,7.2,Found,01/01/1982 12:00:00 AM,-76.90581,157.00988,"(-76.90581, 157.00988)"
Allan Hills 82121,497,Valid,L6,2.4,Found,01/01/1982 12:00:00 AM,-77.03722,157.23658,"(-77.03722, 157.23658)"
Allan Hills 82122,498,Valid,H5,142,Found,01/01/1982 12:00:00 AM,-76.98507,156.90009,"(-76.98507, 156.90009)"
