name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Al Huqf 001,434,Valid,L4,41.50000,Found,01/01/2000 12:00:00 AM,19.42000,57.18833,"(19.42, 57.18833)",Oman
Al Huqf 002,435,Valid,H5,81.40000,Found,01/01/2000 12:00:00 AM,19.27167,57.38667,"(19.27167, 57.38667)",Oman
Al Huqf 003,436,Valid,L4,115.42000,Found,01/01/2002 12:00:00 AM,19.50695,57.11952,"(19.50695, 57.11952)",Oman
Al Huqf 004,437,Valid,L5,260.22000,Found,01/01/2002 12:00:00 AM,19.54482,57.09807,"(19.54482, 57.09807)",Oman
Al Huqf 005,438,Valid,L6,763.29000,Found,01/01/2002 12:00:00 AM,19.84057,57.00848,"(19.84057, 57.00848)",Oman
Al Huqf 006,439,Valid,L6,1861.21000,Found,01/01/2002 12:00:00 AM,19.84067,57.00842,"(19.84067, 57.00842)",Oman
Al Huqf 007,440,Valid,L5,1042.70000,Found,01/01/2002 12:00:00 AM,19.84128,57.00953,"(19.84128, 57.00953)",Oman
Al Huqf 008,441,Valid,L6,1074.30000,Found,01/01/2002 12:00:00 AM,19.84203,57.00747,"(19.84203, 57.00747)",Oman
Al Huqf 009,442,Valid,H4,39.83000,Found,01/01/2002 12:00:00 AM,19.84230,57.00013,"(19.8423, 57.00013)",Oman
Al Huqf 010,443,Valid,L6,41539.30000,Found,01/01/2002 12:00:00 AM,19.86785,57.00280,"(19.86785, 57.0028)",Oman
Al Huqf 011,444,Valid,L6,8056.00000,Found,01/01/2002 12:00:00 AM,19.86607,57.00320,"(19.86607, 57.0032)",Oman
Al Huqf 012,445,Valid,L6,402.75000,Found,01/01/2003 12:00:00 AM,19.80252,57.32137,"(19.80252, 57.32137)",Oman
Al Huqf 050,35485,Valid,H4,1066.20000,Found,01/01/2002 12:00:00 AM,19.60308,57.03332,"(19.60308, 57.03332)",Oman
Al Huqf 051,35486,Valid,L6,402.75000,Found,01/01/2003 12:00:00 AM,19.80252,57.32137,"(19.80252, 57.32137)",Oman
Al Huqf 052,45822,Valid,H~5,1319.40000,Found,01/01/2001 12:00:00 AM,19.65675,57.04330,"(19.65675, 57.0433)",Oman
Al Huqf 053,45823,Valid,H~5,854.70000,Found,01/01/2001 12:00:00 AM,19.61287,57.27038,"(19.61287, 57.27038)",Oman
