name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,Weight (Kg),years
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.18333,10.23333,"(56.18333, 10.23333)",0.72,1951
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.21667,-113,"(54.21667, -113.0)",107,1952
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,"(8.91667, 8.43333)",3,1959
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,"(24.41667, 39.51667)",0.16,1957
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33,-66,"(-33.0, -66.0)",0.81,1954
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.66667,"(-31.41667, -60.66667)",7.45,1950
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.46028,-49.95083,"(-21.46028, -49.95083)",9.33,1952
Breitscheid,5134,Valid,H5,1500,Fell,01/01/1956 12:00:00 AM,50.66694,8.18361,"(50.66694, 8.18361)",1.5,1956
Centerville,5307,Valid,H5,45.6,Fell,01/01/1956 12:00:00 AM,43.2,-96.91667,"(43.2, -96.91667)",0.0456,1956
Distrito Quebracho,7649,Valid,H4,400,Fell,01/01/1957 12:00:00 AM,-31.88333,-60.46667,"(-31.88333, -60.46667)",0.4,1957
Dubrovnik,7736,Valid,L3-6,1900,Fell,01/01/1951 12:00:00 AM,42.45833,18.44167,"(42.45833, 18.44167)",1.9,1951
Elenovka,7824,Valid,L5,54640,Fell,01/01/1951 12:00:00 AM,47.83333,37.66667,"(47.83333, 37.66667)",54.64,1951
Essebi,10055,Valid,C2-ung,500,Fell,01/01/1957 12:00:00 AM,2.88333,30.83333,"(2.88333, 30.83333)",0.5,1957
Galim (a),10848,Valid,LL6,36.1,Fell,01/01/1952 12:00:00 AM,7.05,12.43333,"(7.05, 12.43333)",0.0361,1952
Galim (b),10849,Valid,EH3/4-an,28,Fell,01/01/1952 12:00:00 AM,7.05,12.43333,"(7.05, 12.43333)",0.028,1952
Garland,10861,Valid,Diogenite-pm,102,Fell,01/01/1950 12:00:00 AM,41.68333,-112.13333,"(41.68333, -112.13333)",0.102,1950
Geidam,10870,Valid,H5,725,Fell,01/01/1950 12:00:00 AM,12.91667,11.91667,"(12.91667, 11.91667)",0.725,1950
Hamlet,11485,Valid,LL4,3710,Fell,01/01/1959 12:00:00 AM,41.38333,-86.6,"(41.38333, -86.6)",3.71,1959
Hökmark,11893,Valid,L4,305.5,Fell,01/01/1954 12:00:00 AM,64.43333,21.2,"(64.43333, 21.2)",0.3055,1954
